konkordancija;gold_label
17. godina izgubili svoje živote. Danas toliko godina nakon zločina koji je potresao domaću, ali i svjetsku javnost na površinu je isplivala bolna, i teško prihvatljiva istina. Naime, iako su snimke pokolja u Uzdolu obišle svijet, preživjeli;frazeolosko
snu predstavlja viziju vašeg unutarnjeg djeteta koje svi imamo, te koje bi svi trebali čuvati i dopustiti da ispliva na površinu. Međutim, san djeteta može imati i pozitivno, ali i negativno značenje. Ako ste sanjali djevojčicu, sanjarica dijete;frazeolosko
je mnogo više pogodilo neodgovorno ponašanje nekih njezinih članica, koje je u najgorem trenutku isplivalo na površinu. Grčka rastrošnost i višegodišnje pometanje problema pod tepih zasad su koštali EU 120 milijardi eura, ali i;frazeolosko
, pored navedene, ova britanska tvrtka koristila podatke o Facebook korisnicima, vjerojatno tek treba isplivati na površinu, a Facebook je u ovoj priči očito ispao žrtva prevare. No, kako je malo tko bio uvjeren u opću nevinost najveće društvene;frazeolosko
, promoviran od Applea, približio broju od 200 milijuna korisnika. Na drugoj, pak, tamnijoj strani, ponovno je na površinu isplivao Ivica Todoroić kojeg se tereti da je iz tvrtke kojoj je bio na čelu nelegalno izvukao milijardu i još nešto;frazeolosko
, tko su oni?! (J. Novak) U koroni, baš kao i u svim drugim krizama hrvatskoga društva i ne samo njega, isplivale su na površinu brojne ljudske opačine. Bogati se u svijetu jagme za cjepivom i gomilaju viškove cjepiva. Nema tu ni humanosti, ni;frazeolosko
, kada navršava sedamdeset godina. U cijeloj toj kakofoniji osjećaja i uspomena Marijan uspijeva nekako isplivati na površinu, spreman na još jedan pokušaj osvajanja sreće. Ovaj zagrebački dramski kaleidoskop Miro Gavran napisao je posebno za;frazeolosko
kakvu-takvu samostojnost hrvatskoga književnog jezika. Nu u razdoblju nakon stvaranja samostalne države na površinu su isplivali različiti interesi pojedinih skupina pa se formalni završetak normiranja i standardizacije;frazeolosko
"riječima, Spacey ga je pozvao u stan nekoliko dana od tog događaja. Za vrijeme suđenja Spacey se slomio i na površinu su isplivale njegove velike tajne. ""Odrastao sam u vrlo kompliciranoj obiteljskoj dinamici. Otac mi je bio rasist i";frazeolosko
cijela predstava propada (što bi značilo da moramo vratiti pare publici). Naši pravi interesi ne smiju isplivati na površinu. Ne smiju doći do izražaja u igranjima naših uloga. Vidjeli ste, kad su neki od naših izišli samo na trenutak iz svojih;frazeolosko
uvijek žive, služeći drugima. I danas, kada se netko od tih odnarođenih parazita, koji su ponovo masovno isplivali na površinu, cinično nabacuje blatom na Tuđmana, hrvatske branitelje i mučenike, potrudite se da im se ne pridružite i tu sramotu;frazeolosko
"pitanja. Slični problemi postojali su i na prostoru nekadašnjeg Sovjetskog Saveza; kad je on propao isplivali su na površinu, od Moldavije i Ukrajine do Čečenije, Gruzije i Azerbajdžana. Osnovni razlog za neuspjeh sovjetskog ""bratstva i";frazeolosko
ima srpska manjina, kojih je 186.633 pa čine 4,36 posto ukupnoga pučanstva. Svojim regionalnim očitovanjem na površinu je isplivala i skupina Istrana, koji se očito, unatoč hrvatskom jeziku, još uvijek nacionalno kolebaju između;frazeolosko
nije tužno. Bar si ziher da je pola toga što čuješ o sebi izmišljeno . Plus, sigurna si ako ne želiš da nešto ispliva na površinu. Ljudi su vražja stvorenja. Trust no one. ja obicno kad saznam nesto socno odmah nazovem sve kontakte iz mobitela,;frazeolosko
u njoj pronalazila mir i radost za koje sam toliko puta čula da su plodovi molitve. Bogu hvala istina je isplivala na površinu i priznala sam si da ja nemam odnos s Ocem. Po toj iskrenosti prema samoj sebi i Njemu rasplamsala se u meni želja da uđem u;frazeolosko
najveća nesreća koja može pogoditi jedan narod, rat, pokazala se hrvatska solidarnost koja, nažalost, ispliva na površinu samo kada se dogodi nešto strašno, a ne i kada je mirno, kad nema potresa ili poplava. Odasvud je bilo i branitelja koji su;frazeolosko
istragom okrutnih ritualnih ubojstava koja potresaju grad. Kako će izgledati tijek istrage i što će sve isplivati na površinu, saznat ćeš u toj kriminalističkoj priči prožetoj obiteljskim tajnama u koju je autorica vješto uklopila baskijsku;frazeolosko
i potrebno mu je puno vremena da se formiraju i sazriju neki osjećaji u njemu. Kada je on ljubomoran, tu ispliva na površinu nepovjerenje u svijet i ljude. U ispadima ljubomore možemo čuti kako se uspoređuje s nekim, izražava osjećaj;frazeolosko
. Rat koji nas je unazadio za 30-ak godina, materijalno i duhovno, i logično je da svakakva govna isplivaju na površinu. Lako je biti hepi, haj i kul s plaćom od 2000 eura i kad znaš da ti krkan neće preoteti posao jer je šefov nećak, a još si i;frazeolosko
, teme koje su osjetljive za druge članove i jednostavno ih izbjegavamo. Terapija je mjesto gdje to sve ispliva na površinu, morate izvući, secirati, riješiti i nastavit dalje. Uspjeh oživljavanja Suicide Silenca nosi poprilično;frazeolosko
prepona). Dakle, gosti su pokazali da mogu i bez ovih super važnih igrača u rosteru. Njihova borbenost isplivala je na površinu u obliku neodlučenog završetka te su Papčevi majstori tako osvojili svoj 26. prvenstveni bod kojim su zadržali;frazeolosko
fukari koja se obogati. Kordić ponovno dokazuje da i u ovim manje turbulentnim vremenima od onih u kojima je isplivao na površinu nije ništa pametniji i da mu onih 9 godina iza rešetaka nisu bili od koristi. Oni komentatori koji nakon čitanja;frazeolosko
lika i djela, mada je vjerojatnije da je dotični uspješno ušutkao Oswalda kako određeni podaci ne bi isplivali na površinu. Ovdje prestajemo s činjenicama i kronologijom, prelazeći na ono što nas zanima – na koji se način i u kolikoj mjeri ovo;frazeolosko
potpisujemo? Često se suočavamo s neugodnim iznenađenjima kad odluke donesene daleko od očiju javnosti isplivaju na površinu. Jedan takav šokantan slučaj tiče se Europske unije, njene Povelje o temeljnim pravima i nečuvenih ovlasti koje su;frazeolosko
"Dijeli na viber Dijeli na mail Nakon prikazanog trailera za dokumentarac 'Harry &amp;amp; Meghan' isplivale su na površinu nove laži koje su šokirale javnost. Izvor: Profimedia Novi dan, nove laži Harryja i Meghan. Njihov trailer za";frazeolosko
Nakon što je u javnosti obznanjeno da je krenuo drugi lockdown u Velikoj Britaniji koji će trajati sve do 2. prosinca, na površinu je isplivala vijest da je princ William još u travnju prebolio koronavirus. Kako ističe izvor blizak obitelji za 'The;frazeolosko
da su sretni ako su sretni svi oko njih, to nikako neće biti istina jer će nakupljene frustracije kad-tad isplivati na površinu i prerasti u svađu. Trebali bi naučiti više brinuti o sebi i znati ponekad reći ne. To je njihova glavna lekcija ovog;frazeolosko
Najbolji dani bit će petak i subota. U prvoj polovici tjedna Vodenjake će zaintrigirati neke tajne koje će isplivati na površinu. Dobro će vam doći nova saznanja, samo nemojte 'pucati' sve odjednom. Sačuvajte neke informacije za kasnije,;frazeolosko
pronađu način kako bi se financirali. Srećom, postoje i pozitivne priče, kao uvijek. Tijekom kriza neki isplivaju na površinu te se pokažu potrebnijima, čvršćima ili otpornijima od drugih. Pa tako 12 posto startupa u 45 zemlje svijeta bilježi;frazeolosko
da pomjeri glavu unazad (s uvučenom bradom). Kada to napravi noge će automatski praqtiti pokret glave i isplivati na površinu. Za povratak u vertikalni položaj plivač mora podići glavu naprijed, dok istovremeno poseže s rukama u istom smjeru.;doslovno
"i Žužula nego novac i odanost Ivi Sanaderu? To je shvatio i Josipović pa je bacio mamac svima kako bi on jedini isplivao na površinu a kad je pobijedio odanim je prijateljima govorio da će upravo Žužul prvi kojeg će se potruditi poslati u zatvor jer je """;frazeolosko
"dogodilo da nogomet ovako trese sudstvo i da je jedan od pokretača mnogo dubljeg kriminala koji nikad neće isplivati na površinu, a svi znamo da je tu. Zapjevao je Mamić s Lovrenom ""Ne može nam nitko ništa"". Da, istina je. Nemojte si lagati. Ne može im";frazeolosko
